720:[INFO] Tests run: 6, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.028 s -- in uk.gov.defra.trade.imports.animals.interceptor.TraceIdPropagationInterceptorTest
724:[INFO] Tests run: 365, Failures: 0, Errors: 0, Skipped: 0
847:[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 13.40 s -- in uk.gov.defra.trade.imports.animals.integration.outbox.OutboxPollerIT
889:[INFO] Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 5.968 s -- in uk.gov.defra.trade.imports.animals.integration.outbox.ReplayIT
933:[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.539 s -- in uk.gov.defra.trade.imports.animals.integration.ProxyConfigIT
1040:[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 3.732 s -- in uk.gov.defra.trade.imports.animals.integration.document.DocumentControllerIT$UploadFile
1050:[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.059 s -- in uk.gov.defra.trade.imports.animals.integration.document.DocumentControllerIT$Delete
1058:[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.031 s -- in uk.gov.defra.trade.imports.animals.integration.document.DocumentControllerIT$DateOfIssue
1987:[INFO] Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.149 s -- in uk.gov.defra.trade.imports.animals.integration.document.DocumentControllerIT$DownloadFile
2019:[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.064 s -- in uk.gov.defra.trade.imports.animals.integration.document.DocumentControllerIT$GetByUploadId
2028:[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.040 s -- in uk.gov.defra.trade.imports.animals.integration.document.DocumentControllerIT$ListDocuments
2316:[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.310 s -- in uk.gov.defra.trade.imports.animals.integration.document.DocumentControllerIT$VirusScan
2604:[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.323 s -- in uk.gov.defra.trade.imports.animals.integration.document.DocumentControllerIT$CleanScan
2612:[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.032 s -- in uk.gov.defra.trade.imports.animals.integration.document.DocumentControllerIT$Initiate
2613:[INFO] Tests run: 0, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 5.753 s -- in uk.gov.defra.trade.imports.animals.integration.document.DocumentControllerIT
2708:[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 3.073 s -- in uk.gov.defra.trade.imports.animals.integration.document.DocumentInitiateProductionModeIT
2767:[INFO] Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.518 s -- in uk.gov.defra.trade.imports.animals.integration.document.DocumentScanCallbackIT
2780:[INFO] Tests run: 9, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.114 s -- in uk.gov.defra.trade.imports.animals.integration.document.AccompanyingDocumentRepositoryIT
2789:[INFO] Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.047 s -- in uk.gov.defra.trade.imports.animals.integration.MongoConfigIT
2802:[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.078 s -- in uk.gov.defra.trade.imports.animals.integration.NotificationExpiryIT
2846:[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.446 s -- in uk.gov.defra.trade.imports.animals.integration.EcsLoggingIT
2855:[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.026 s -- in uk.gov.defra.trade.imports.animals.integration.TrustStoreConfigurationIT
3017:[INFO] Tests run: 26, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.002 s -- in uk.gov.defra.trade.imports.animals.integration.NotificationFulfilmentsIT
3298:[INFO] Tests run: 55, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.840 s -- in uk.gov.defra.trade.imports.animals.integration.NotificationIT
3310:[INFO] Tests run: 8, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.051 s -- in uk.gov.defra.trade.imports.animals.integration.HealthCheckConfigIT
3314:[INFO] Tests run: 144, Failures: 0, Errors: 0, Skipped: 0
3328:[INFO] BUILD SUCCESS
